
Project:     BUAATrolley2018165
Program:     Inertial Explorer Version 8.70.5101
Profile:     BUAADNCForPlot
Source:      GNSS/INS Epochs(Smoothed TC Combined)
SolFile:      D:\confi\Documents\SPANProject\BUAATrolley2018165.cts
ProcessInfo: BUAATrolley2018165 by Unknown on 9/17/2018 at 09:59:39

Datum:       WGS84
Master 1:    Name BDStarBaseOEM71, Status ENABLED
             Antenna height 0.000 m, to L1PC [Generic(NONE)]
             Lat, Lon, El Hgt 40 06 04.16122, 116 07 53.73361, 58.918 m [WGS84, 2018.452]
Master 2:    Name BJNM, Status DISABLED
             Antenna height 0.000 m, to ARP [NOV702GG(NONE)]
             Lat, Lon, El Hgt 40 14 43.16664, 116 13 26.87428, 109.122 m [WGS84, 2018.449]
Remote:      Antenna height 0.000 m, to L1PC [Generic(NONE)]
IMU to GNSS Antenna Lever Arms:
             x=-0.275, y=-0.055, z=0.144 m (x-right, y-fwd, z-up)
Body to Sensor Rotations:
             xRot=0.000, yRot=0.000, zRot=0.000 degrees (Rotate IMU into Vehicle Frame)
IMU->Secondary Sensor Lever Arms: 
            x=-0.275, y=-0.055, z=0.144 m (x-right, y-fwd, z-up, IMU->SENSOR)

 Week ,    CorrTime ,   HzSpeed ,   Heading , iFlag    , GP , GL , BD ,   PDOP , Update         ,        CARms ,  DopRms ,        L1Rms ,      COG
(week         (sec)       (m/s)       (deg)                              (dop)                             (m)     (m/s)            (m)      (deg)
 2005 ,  379429.000 ,     0.014 ,   -91.493 , PHS      ,  4 ,  2 ,  4 ,   2.26 ,  GV TR         ,        2.110 ,   0.091 ,        0.017 ,   24.907
 2005 ,  379430.000 ,     0.017 ,   -91.485 , ZUPT     ,  4 ,  2 ,  4 ,   2.26 ,  ZU GV TR      ,        2.260 ,   0.052 ,        0.018 ,    0.000
 2005 ,  379431.000 ,     0.016 ,   -91.493 , ZUPT     ,  4 ,  2 ,  4 ,   2.26 ,  ZU GV TR      ,        2.370 ,   0.039 ,        0.012 ,    0.000
 2005 ,  379432.000 ,     0.016 ,   -91.490 , ZUPT     ,  4 ,  2 ,  3 ,   2.59 ,  ZU GV TR      ,        2.080 ,   0.025 ,        0.007 ,    0.000
 2005 ,  379433.000 ,     0.016 ,   -91.490 , ZUPT     ,  5 ,  2 ,  4 ,   1.66 ,  ZU GV TR      ,        1.660 ,   0.048 ,        0.010 ,    0.000
 2005 ,  379434.000 ,     0.014 ,   -91.487 , ZUPT     ,  5 ,  3 ,  4 ,   1.55 ,  ZU GV TR      ,        1.490 ,   0.027 ,        0.006 ,    0.000
 2005 ,  379435.000 ,     0.013 ,   -91.484 , ZUPT     ,  2 ,  1 ,  1 ,   0.55 ,  ZU TR         ,        0.730 ,   0.017 ,        0.003 ,    0.000
 2005 ,  379436.000 ,     0.008 ,   -91.482 , ZUPT     ,  5 ,  4 ,  4 ,   1.50 ,  ZU GV TR      ,        1.490 ,   0.060 ,        0.008 ,    0.000
 2005 ,  379437.000 ,     0.006 ,   -91.484 , ZUPT     ,  6 ,  4 ,  4 ,   1.33 ,  ZU GV TR      ,        1.800 ,   0.072 ,        0.007 ,    0.000
 2005 ,  379438.000 ,     0.015 ,   -91.521 , PHS      ,  6 ,  4 ,  4 ,   1.33 ,  GV TR         ,        1.810 ,   0.030 ,        0.009 ,    0.000
 2005 ,  379439.000 ,     0.012 ,   -91.625 , PHS      ,  6 ,  4 ,  4 ,   1.33 ,  GV TR         ,        1.950 ,   0.044 ,        0.007 ,    0.000
 2005 ,  379440.000 ,     0.016 ,   -91.423 , PHS      ,  6 ,  4 ,  4 ,   1.33 ,  GV TR         ,        2.030 ,   0.053 ,        0.009 ,    0.000
 2005 ,  379441.000 ,     0.485 ,   -92.023 , PHS      ,  7 ,  4 ,  3 ,   1.23 ,  GV TR         ,        2.060 ,   0.210 ,        0.016 ,  253.085
 2005 ,  379442.000 ,     1.127 ,   -91.510 , PHS      ,  5 ,  1 ,  3 ,   2.24 ,  GV TR         ,        1.890 ,   0.565 ,        0.024 ,  253.783
 2005 ,  379443.000 ,     1.444 ,   -92.331 , GPS      ,  4 ,  2 ,  1 ,   7.83 ,  GP GV TR      ,        2.240 ,   0.519 ,        0.036 ,  328.349
 2005 ,  379444.000 ,     1.597 ,   -92.924 , PHS      ,  4 ,  1 ,  1 , 160.48 ,  TR            ,        1.560 ,   0.000 ,        0.000 ,   22.555
 2005 ,  379445.000 ,     1.604 ,   -92.778 , PHS      ,  2 ,  0 ,  0 ,   0.00 ,  TR PR         ,        0.000 ,   0.000 ,        0.000 ,    0.000
 2005 ,  379446.000 ,     1.688 ,   -90.906 , PSR      ,  0 ,  0 ,  0 ,   0.00 ,  PR            ,        0.000 ,   0.000 ,        0.000 ,    0.000
 2005 ,  379447.000 ,     1.651 ,   -90.499 , PSR      ,  0 ,  0 ,  0 ,   0.00 ,  PR            ,        0.000 ,   0.000 ,        0.000 ,    0.000
 2005 ,  379448.000 ,     1.505 ,   -91.443 , PSR      ,  0 ,  0 ,  0 ,   0.00 ,  PR            ,        0.000 ,   0.000 ,        0.000 ,    0.000
